Country,Species,Number of critically endangered indigenous species,Number of critically endangered species,Number of endangered indigenous species,Number of endangered species,Number of vulnerable indigenous species,Number of vulnerable species,Threatened indigenous species as % of indigenous spec.,Threatened species as % of known species,Total number of indigenous known species,Total number of indigenous threatened species,Total number of known species,Total number of threatened species
Colombia,Freshwater Fish,2.0,2.0,2.0,3.0,19.0,46.0,6.267,3.353,401.0,23.0,1610.0,51.0
Colombia,Invertebrates,,6.0,,44.0,,48.0,,0.891,,,10999.0,98.0
Colombia,Lichens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,1673.0,0.0
Colombia,Mammals,4.0,5.0,3.0,18.0,5.0,32.0,12.069,8.015,58.0,13.0,528.0,55.0
Colombia,Marine Fish,,1.0,,2.0,,9.0,,0.465,,,2582.0,12.0
Colombia,Mosses,3.0,6.0,1.0,4.0,18.0,32.0,,2.445,,22.0,1718.0,42.0
Colombia,Reptiles,,11.0,,16.0,,17.0,,6.962,,,743.0,44.0
Colombia,Vascular plants,91.0,112.0,175.0,264.0,205.0,345.0,10.313,2.927,4567.0,471.0,24633.0,721.0
Costa Rica,Amphibians,,23.0,,22.0,,16.0,,32.275,,,192.0,61.0
Costa Rica,Birds,,2.0,,8.0,,20.0,,2.921,,,888.0,30.0
Costa Rica,Fish,,1.0,,9.0,,58.0,,3.751,,,1835.0,68.0
Costa Rica,Invertebrates,,3.0,,13.0,,15.0,,7.69,,,447.0,31.0
Costa Rica,Mammals,,1.0,,7.0,,10.0,,4.846,,,241.0,18.0
Costa Rica,Mosses,,,,,,2.0,,50.0,,,4.0,2.0
Costa Rica,Reptiles,,2.0,,5.0,,5.0,,6.936,,,173.0,12.0
Costa Rica,Vascular plants,,4.0,,47.0,,86.0,,28.773,,,1179.0,137.0
Czech Republic,Amphibians,1.0,1.0,3.0,3.0,3.0,3.0,71.429,71.429,12.0,7.0,12.0,7.0
Czech Republic,Birds,35.0,35.0,35.0,35.0,45.0,45.0,43.498,43.498,223.0,115.0,237.0,115.0
Czech Republic,Fish,15.0,15.0,2.0,2.0,8.0,8.0,42.373,42.373,75.0,25.0,99.0,25.0
